,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pyaozerskiy,100,RU,1562887822,77,65.83,31.17,42.89,18.16
1,Buin,29,CL,1562887823,71,-33.73,-70.74,53.6,5.82
2,Hobart,75,AU,1562887824,61,-42.88,147.33,48.2,19.46
3,Yellowknife,90,CA,1562887826,82,62.45,-114.38,59.0,4.7
4,Qaanaaq,0,GL,1562887827,48,77.48,-69.36,46.67,7.92
5,Albany,90,US,1562887828,100,42.65,-73.75,78.8,4.27
6,Vaini,98,IN,1562887725,92,15.34,74.49,76.19,1.86
7,Charters Towers,21,AU,1562887749,50,-20.07,146.27,67.37,11.52
8,Erzin,0,TR,1562887831,69,36.95,36.2,82.0,6.93
9,Dalvik,40,SE,1562887833,93,57.79,14.13,62.01,3.36
10,Santa Lucia,0,IT,1562887834,78,41.98,12.66,73.4,2.24
11,Cabo San Lucas,5,MX,1562887644,48,22.89,-109.91,98.01,6.93
12,Dikson,78,RU,1562887598,94,73.51,80.55,34.43,10.27
13,Punta Arenas,90,CL,1562887837,93,-53.16,-70.91,41.0,14.99
14,Praia da Vitoria,20,PT,1562887838,88,38.73,-27.07,70.0,2.55
15,Tarko-Sale,37,RU,1562887840,71,64.92,77.78,72.0,17.63
16,Wittelsheim,0,FR,1562887841,87,47.8,7.24,63.0,5.82
17,Saint Anthony,1,US,1562887842,18,43.97,-111.68,91.4,17.22
18,Busselton,78,AU,1562887843,99,-33.64,115.35,45.0,8.77
19,Nagorsk,45,RU,1562887845,97,59.32,50.8,46.49,3.71
20,Rikitea,22,PF,1562887846,80,-23.12,-134.97,73.67,17.36
21,Imbituba,0,BR,1562887816,93,-28.24,-48.67,59.0,2.24
22,Mataura,100,NZ,1562887570,80,-46.19,168.86,46.0,4.0
23,Guerrero Negro,0,MX,1562887849,83,27.97,-114.04,67.91,22.59
24,Kamaishi,75,JP,1562887807,100,39.28,141.86,62.6,4.7
25,Hithadhoo,21,MV,1562887851,73,-0.6,73.08,84.11,10.78
26,Gillette,27,US,1562887853,32,44.29,-105.5,91.0,3.0
27,Ponta do Sol,0,BR,1562887854,58,-20.63,-46.0,56.57,2.84
28,Hudiksvall,84,SE,1562887855,60,61.73,17.1,48.65,1.07
29,Xichang,100,CN,1562887856,95,27.88,102.25,56.39,2.3
30,Saint-Philippe,90,CA,1562887857,100,45.36,-73.48,79.0,3.36
31,Butaritari,33,KI,1562887740,76,3.07,172.79,84.47,12.03
32,Upernavik,16,GL,1562887776,86,72.79,-56.15,45.05,7.49
33,Bathsheba,40,BB,1562887564,74,13.22,-59.52,82.4,16.11
34,Svetlaya,99,RU,1562887862,61,46.54,138.33,69.71,5.79
35,Provideniya,0,RU,1562887582,82,64.42,-173.23,55.4,11.18
36,Bubaque,99,GW,1562887864,84,11.28,-15.83,80.15,8.86
37,Tasiilaq,11,GL,1562887865,72,65.61,-37.64,35.33,3.62
38,Bilibino,47,RU,1562887412,27,68.06,166.44,79.43,10.54
39,Kawalu,84,ID,1562887868,90,-7.38,108.21,66.47,3.36
40,Serra Branca,24,BR,1562887869,89,-7.57,-40.23,66.29,9.66
41,Verkhnevilyuysk,95,RU,1562887870,52,63.45,120.31,76.73,3.58
42,Ilulissat,40,GL,1562887470,81,69.22,-51.1,46.4,4.7
43,Port Hedland,73,AU,1562887872,39,-20.31,118.58,62.6,8.05
44,Dunedin,97,NZ,1562887432,87,-45.87,170.5,48.0,23.0
45,Katsuura,90,JP,1562887778,94,33.93,134.5,77.0,4.7
46,Pinega,62,RU,1562887876,96,64.7,43.39,39.83,6.93
47,Kaitangata,100,NZ,1562887877,75,-46.28,169.85,46.99,1.99
48,Birjand,0,IR,1562887878,25,32.86,59.22,73.4,6.93
49,Salisbury,88,GB,1562887879,87,51.07,-1.8,64.4,8.05
50,Flin Flon,90,CA,1562887299,87,54.77,-101.88,59.0,4.7
51,Bara,96,NG,1562887779,94,10.41,10.6,70.25,5.39
52,Sinnamary,0,GF,1562887883,81,5.38,-52.96,81.23,15.9
53,Oum Hadjer,100,TD,1562887884,64,13.3,19.7,79.97,8.23
54,Abha,20,SA,1562887885,49,18.22,42.5,73.4,4.7
55,Ushuaia,75,AR,1562887886,93,-54.81,-68.31,39.2,19.46
56,Hermanus,100,ZA,1562887887,97,-34.42,19.24,55.0,12.88
57,Lagoa,40,PT,1562887889,94,37.14,-8.45,71.01,4.7
58,Tuatapere,100,NZ,1562887357,80,-46.13,167.69,46.0,4.0
59,Barrow,100,AR,1562887891,81,-38.31,-60.23,49.55,4.14
60,New Norfolk,75,AU,1562887892,61,-42.78,147.06,48.2,19.46
61,Yelan,90,RU,1562887893,83,50.95,43.74,55.99,4.47
62,Jamestown,76,AU,1562887359,79,-33.21,138.6,51.89,21.05
63,Cape Town,75,ZA,1562887896,100,-33.93,18.42,57.0,11.41
64,Chuy,100,UY,1562887475,81,-33.69,-53.46,57.47,9.53
65,Kapaa,75,US,1562887890,70,22.08,-159.32,84.2,13.87
66,Camacha,40,PT,1562887899,77,33.08,-16.33,71.6,18.34
67,Port Alfred,14,ZA,1562887900,82,-33.59,26.89,63.0,5.99
68,Saskylakh,100,RU,1562887901,72,71.97,114.09,56.21,15.03
69,Kalanwali,0,IN,1562887903,45,29.83,74.98,93.65,12.37
70,East London,0,ZA,1562887746,76,-33.02,27.91,54.59,9.31
71,Yerbogachen,77,RU,1562887905,64,61.28,108.01,63.95,8.48
72,Freeport,75,BS,1562887866,66,26.54,-78.7,86.0,8.05
73,San Cristobal,46,HN,1562887907,68,14.68,-86.92,73.67,9.69
74,Kurilsk,100,RU,1562887773,88,45.23,147.88,51.35,6.91
75,Lorengau,68,PG,1562887342,74,-2.02,147.27,81.59,16.91
76,Conde,2,BR,1562887911,97,-11.81,-37.61,65.93,2.68
77,Correntina,0,BR,1562887912,49,-13.34,-44.63,65.75,4.45
78,Nishihara,90,JP,1562887913,100,35.74,139.53,71.01,5.82
79,Oksfjord,0,NO,1562887369,76,70.24,22.35,51.8,2.24
80,Vidim,0,CZ,1562887915,55,50.47,14.53,66.2,10.29
81,The Hammocks,20,US,1562887916,66,25.67,-80.44,88.0,8.05
82,Hilo,40,US,1562887918,54,19.71,-155.08,84.2,11.41
83,Bellevue,90,DE,1562887849,100,50.05,10.19,59.0,3.22
84,Saint-Georges,100,CA,1562887798,5,46.12,-70.67,70.0,3.0
85,Comodoro Rivadavia,0,AR,1562887921,57,-45.87,-67.48,48.2,3.36
86,Kindu,91,CD,1562887922,92,-2.95,25.92,70.25,3.33
87,Ostrovnoy,100,RU,1562887443,95,68.05,39.51,40.19,25.03
88,Ambilobe,29,MG,1562887925,77,-13.19,49.05,69.89,7.25
89,Te Anau,100,NZ,1562887745,94,-45.41,167.72,41.45,1.43
90,Boyolangu,51,ID,1562887927,89,-8.09,111.9,68.63,4.34
91,Codrington,0,AU,1562887928,62,-28.95,153.24,64.4,9.17
92,Belaya Gora,100,RU,1562887929,64,68.54,146.19,69.35,12.33
93,Banda Aceh,97,ID,1562887659,72,5.56,95.32,83.75,4.0
94,Amga,13,RU,1562887932,58,60.89,131.98,78.35,3.69
95,Fortuna,20,US,1562887933,77,40.6,-124.16,68.0,16.11
96,Bluff,0,AU,1562887934,37,-23.58,149.07,67.55,2.91
97,Totness,75,US,1562887935,55,33.74,-80.8,90.0,9.17
98,Hof,90,DE,1562887936,100,50.32,11.92,59.0,5.57
99,Kuldur,100,RU,1562887938,55,49.22,131.63,77.45,1.72
100,Koshki,100,RU,1562887939,99,54.2,50.47,57.47,7.18
101,Port Lincoln,89,AU,1562887940,69,-34.72,135.86,57.65,32.26
102,Yar-Sale,83,RU,1562887464,85,66.83,70.83,58.91,12.71
103,Saldanha,0,PT,1562887452,49,41.42,-6.55,74.57,3.11
104,Mar del Plata,0,AR,1562887677,66,-46.43,-67.52,41.09,6.04
105,Kieta,100,PG,1562887945,84,-6.22,155.63,79.97,9.8
106,Thompson,75,CA,1562887946,82,55.74,-97.86,59.0,5.08
107,Cidreira,85,BR,1562887504,76,-30.17,-50.22,60.71,8.03
108,Ribeira Grande,0,PT,1562887725,82,38.52,-28.7,71.15,3.49
109,Yuanping,0,CN,1562887949,59,38.72,112.71,65.39,1.45
110,Mariental,0,BR,1562887950,71,-25.72,-49.65,59.0,4.7
111,Quatre Cocos,20,MU,1562887951,88,-20.21,57.76,68.0,4.7
112,Sao Filipe,6,CV,1562887439,86,14.9,-24.5,72.05,17.94
113,Havoysund,0,NO,1562887954,70,71.0,24.66,48.2,4.7
114,Khash,13,IR,1562887955,39,28.22,61.21,67.01,1.16
115,Igrim,10,RU,1562887956,77,63.19,64.42,55.13,9.73
116,Byron Bay,0,AU,1562887957,45,-28.65,153.62,66.99,9.17
117,Mount Isa,87,AU,1562887959,26,-20.73,139.49,62.6,6.93
118,Bredasdorp,51,ZA,1562887960,87,-34.53,20.04,57.2,6.93
119,Alvaraes,20,BR,1562887961,88,-3.22,-64.8,80.6,2.44
120,Sitka,56,US,1562887962,47,37.17,-99.65,88.0,4.0
121,Narsaq,20,GL,1562887964,58,60.91,-46.05,53.6,8.05
122,Nabire,57,ID,1562887965,76,-3.36,135.5,74.21,6.15
123,Baruun-Urt,55,MN,1562887966,40,46.68,113.28,73.49,2.89
124,Tuktoyaktuk,90,CA,1562887881,86,69.44,-133.03,39.2,16.11
125,Atuona,15,PF,1562887734,77,-9.8,-139.03,81.41,18.5
126,Hambantota,97,LK,1562887418,81,6.12,81.12,82.13,14.07
127,Syracuse,40,US,1562887970,74,43.05,-76.15,80.6,5.82
128,Garowe,93,SO,1562887972,63,8.41,48.48,76.91,25.34
129,Lasa,0,CY,1562887973,83,34.92,32.53,80.6,4.7
130,Uyuni,25,BO,1562887974,26,-20.46,-66.82,45.23,12.3
131,Lata,57,IN,1562887975,89,30.78,78.62,44.69,1.86
132,Tual,8,ID,1562887374,80,-5.67,132.75,77.27,21.43
133,Faanui,1,PF,1562887386,69,-16.48,-151.75,78.17,7.29
134,Portland,90,US,1562887979,88,43.66,-70.25,70.0,6.93
135,Avarua,5,CK,1562887789,76,-21.21,-159.78,73.31,2.82
136,Chokurdakh,100,RU,1562887748,79,70.62,147.9,56.21,8.75
137,Beringovskiy,0,RU,1562887982,51,63.05,179.32,69.71,4.9
138,Cananea,20,MX,1562887983,21,30.98,-110.3,96.8,5.82
139,Constitucion,75,MX,1562887984,40,23.99,-104.67,78.01,10.29
140,Aanekoski,0,FI,1562887986,93,62.6,25.73,45.0,2.24
141,Pevek,50,RU,1562887987,73,69.7,170.27,47.39,5.08
142,Kutum,100,SD,1562887988,78,14.2,24.66,67.37,12.41
143,Pangnirtung,90,CA,1562887747,40,66.15,-65.72,69.8,13.87
144,Tiksi,99,RU,1562887990,76,71.64,128.87,47.75,19.06
145,Berlevag,0,NO,1562887991,81,70.86,29.09,43.97,6.76
146,Todos Santos,5,MX,1562887993,33,23.45,-110.23,98.01,13.87
147,Mtwara,20,TZ,1562887994,78,-10.28,40.18,71.6,12.75
148,Mathbaria,92,BD,1562887784,87,22.29,89.96,82.49,9.66
149,Trairi,45,BR,1562887996,92,-3.28,-39.27,70.79,3.13
150,Kendari,18,ID,1562887997,85,-3.99,122.52,74.57,2.17
151,Canutama,76,BR,1562887998,72,-6.53,-64.38,77.45,0.58
152,Namatanai,100,PG,1562888000,73,-3.66,152.44,78.53,24.9
153,Tibati,100,CM,1562888001,98,6.47,12.63,65.21,3.56
154,Rome,0,IT,1562887870,78,41.89,12.48,73.4,2.24
155,Nikolskoye,0,RU,1562888003,81,59.7,30.79,45.0,2.24
156,Sao Joao da Barra,0,BR,1562888005,88,-21.64,-41.05,66.2,1.72
157,Mahebourg,20,MU,1562888006,88,-20.41,57.7,68.0,4.7
158,Lumut,75,BN,1562888007,88,4.66,114.45,77.0,3.36
159,Velikiy Ustyug,48,RU,1562888008,96,60.76,46.3,40.01,1.28
160,Larsnes,56,NO,1562887843,93,62.2,5.58,55.0,14.99
161,Ilebo,100,CD,1562888010,76,-4.33,20.59,72.41,2.51
162,Mount Gambier,40,AU,1562888012,71,-37.83,140.78,51.8,18.34
163,Tottori,75,JP,1562888013,78,35.5,134.23,78.8,1.12
164,Mbaiki,100,CF,1562888014,96,3.87,17.99,69.17,3.65
165,Esperance,90,AU,1562888015,100,-33.86,121.89,51.8,6.93
166,Loei,20,TH,1562888016,69,17.49,101.72,81.0,3.36
167,Mariinsk,0,RU,1562888018,72,56.21,87.75,56.93,4.18
168,Salalah,90,OM,1562887430,94,17.01,54.1,80.6,6.93
169,Ostersund,92,SE,1562888020,72,63.18,14.64,59.0,9.17
170,Nuuk,40,GL,1562888021,87,64.17,-51.74,44.6,8.05
171,Baiyin,0,CN,1562888022,100,36.55,104.13,53.6,4.47
172,Bambous Virieux,20,MU,1562888023,88,-20.34,57.76,68.0,4.7
173,Sabang,17,PH,1562887766,80,13.8,121.11,81.59,2.13
174,Buala,93,SB,1562888026,76,-8.15,159.59,82.85,14.27
175,Castro,75,CL,1562887758,100,-42.48,-73.76,44.6,6.93
176,Kargasok,95,RU,1562888028,81,59.06,80.87,63.59,5.53
177,Margate,75,AU,1562888029,61,-43.03,147.26,48.2,19.46
178,Komsomolets,23,RU,1562888030,94,52.77,41.29,52.07,6.53
179,Sehithwa,0,BW,1562888032,33,-20.47,22.7,54.23,3.83
180,Fort Nelson,75,CA,1562888033,23,58.81,-122.69,82.4,12.75
181,Isangel,75,VU,1562888034,74,-19.55,169.27,78.8,3.36
182,Georgetown,40,GY,1562887814,78,6.8,-58.16,82.4,4.7
183,Felanitx,0,ES,1562888036,100,39.47,3.15,77.0,2.24
184,Shache,0,CN,1562888038,97,38.42,77.24,73.0,3.8
185,Valdivia,75,CL,1562888039,81,-39.81,-73.25,51.8,9.17
186,Avera,40,US,1562888040,55,33.19,-82.53,93.2,5.82
187,Crawfordsville,75,US,1562888041,57,40.04,-86.9,84.2,12.75
188,Kahului,40,US,1562887877,34,20.89,-156.47,93.2,24.16
189,Havre-Saint-Pierre,90,CA,1562888044,67,50.23,-63.6,57.2,6.93
190,Luderitz,0,NA,1562888045,87,-26.65,15.16,55.31,15.7
191,Tarata,75,PE,1562888046,82,-17.47,-70.03,57.2,9.17
192,Puerto Ayora,20,EC,1562887469,57,-0.74,-90.35,80.6,16.11
193,Arlit,40,NE,1562888048,7,18.74,7.39,95.81,11.77
194,Dubuque,1,US,1562888036,51,42.5,-90.66,82.99,6.93
195,Mackay,40,CA,1562888051,46,53.65,-115.58,69.8,10.29
196,Liverpool,75,GB,1562887753,93,53.41,-2.98,61.0,3.36
197,Faya,20,SA,1562888053,49,18.39,42.45,73.4,4.7
198,Hatillo,40,PR,1562887770,78,18.49,-66.83,84.0,16.11
199,Puerto Leguizamo,77,CO,1562888055,87,-0.19,-74.78,74.03,2.46
200,High Rock,75,BS,1562888056,66,26.63,-78.28,86.0,8.05
201,Matagami,81,NG,1562888058,98,9.67,8.4,66.11,1.54
202,Torbay,90,CA,1562887905,100,47.66,-52.73,48.0,9.17
203,Finschhafen,99,PG,1562888060,97,-6.6,147.85,61.97,2.55
204,Huarmey,2,PE,1562887931,90,-10.07,-78.15,63.05,14.45
205,Kununurra,64,AU,1562887497,55,-15.77,128.74,66.2,6.93
206,Pala,100,TD,1562888063,95,9.37,14.91,69.71,4.65
207,Vershino-Shakhtaminskiy,0,RU,1562888064,38,51.3,117.89,78.53,1.32
208,Tezu,100,IN,1562888066,98,27.93,96.16,69.17,6.2
209,Burdur,40,TR,1562888067,68,37.72,30.29,64.4,20.8
210,Noumea,0,NC,1562887969,64,-22.28,166.46,71.6,3.36
211,Danielskuil,0,ZA,1562888069,29,-28.19,23.54,47.21,4.81
212,Atar,63,MR,1562888070,19,20.52,-13.05,89.51,1.81
213,Nampula,0,MZ,1562888072,88,-15.12,39.26,64.4,4.7
214,Timbuktu,16,ML,1562888073,32,16.77,-3.01,93.83,7.56
215,Port Hardy,75,CA,1562888074,64,50.7,-127.42,68.0,3.36
216,Dingle,69,PH,1562888075,83,11.0,122.67,79.97,3.31
217,Ystad,0,SE,1562888076,87,55.43,13.82,59.0,3.11
218,Warrington,75,GB,1562888077,93,53.39,-2.59,60.8,3.36
219,Strenci,26,LV,1562888079,94,57.63,25.69,48.0,1.01
220,Severo-Kurilsk,97,RU,1562888080,96,50.68,156.12,43.25,7.92
221,Lavrentiya,7,RU,1562888081,33,65.58,-170.99,73.67,8.7
222,Saint George,40,GR,1562888055,77,39.45,22.34,66.2,1.97
223,Nizwa,75,OM,1562888083,32,22.93,57.53,74.57,1.25
224,Kruisfontein,36,ZA,1562888085,82,-34.0,24.73,54.95,15.03
225,Grindavik,90,IS,1562888086,93,63.84,-22.43,55.99,4.7
226,Iglesias,0,ES,1562888087,63,42.3,-3.99,73.99,6.93
227,Churapcha,12,RU,1562888088,53,62.0,132.43,80.87,2.04
228,Kiama,75,AU,1562888089,54,-34.67,150.86,62.01,17.22
229,Norman Wells,75,CA,1562888091,66,65.28,-126.83,53.6,16.11
230,Stralsund,75,DE,1562888092,72,54.31,13.08,60.8,4.7
231,Vuktyl,76,RU,1562888093,92,63.86,57.31,45.23,5.32
232,Bethel,90,US,1562888094,73,60.79,-161.76,69.8,9.17
233,Anadyr,0,RU,1562888095,49,64.73,177.51,71.6,6.71
234,San Policarpo,100,PH,1562888096,92,12.18,125.51,77.27,6.13
235,Caconda,0,AO,1562888098,33,-13.73,15.06,49.73,0.87
236,Antofagasta,0,CL,1562888099,76,-23.65,-70.4,55.4,6.93
237,Moree,0,AU,1562887861,71,-29.46,149.84,50.0,5.82
238,Pelym,45,RU,1562888101,91,61.01,62.0,53.51,3.98
239,Skegness,0,GB,1562888102,88,53.14,0.34,64.0,5.82
240,Acajutla,10,SV,1562888104,72,13.59,-89.83,84.29,7.36
241,Iqaluit,90,CA,1562888105,81,63.75,-68.52,50.0,20.8
242,Coihaique,75,CL,1562888106,93,-45.58,-72.07,37.4,2.68
243,Cayenne,75,GF,1562888107,94,4.94,-52.33,75.2,5.5
244,Mosalsk,100,RU,1562888108,91,54.49,34.98,46.49,2.84
245,Santa Ana,71,MX,1562887898,18,30.54,-111.12,107.01,5.99
246,Eureka,90,US,1562887873,88,40.8,-124.16,68.0,10.29
247,Itarema,9,BR,1562888112,83,-2.92,-39.92,74.75,5.82
248,Palmer,75,AU,1562888061,71,-34.85,139.16,57.99,18.34
249,Kodiak,1,US,1562888114,16,39.95,-94.76,86.0,8.05
250,Paraiso,75,BR,1562888115,100,-0.03,-51.17,80.6,5.82
251,Greenville,1,US,1562888101,62,34.85,-82.4,87.8,9.17
252,Lebu,75,ET,1562888083,87,8.96,38.73,55.4,11.41
253,Eyrarbakki,90,IS,1562888119,76,63.86,-21.15,55.99,2.24
254,Ugoofaaru,100,MV,1562888120,69,5.67,73.0,83.57,6.67
255,Airai,0,TL,1562888064,59,-8.93,125.41,75.47,1.19
256,Hauterive,75,CA,1562888122,67,49.18,-68.27,60.01,16.11
257,Gallup,1,US,1562888065,16,35.53,-108.74,84.2,17.22
258,Yenagoa,100,NG,1562888124,95,4.92,6.26,73.85,6.44
259,Nago,20,IT,1562888126,93,45.88,10.89,75.2,5.82
260,Tandil,100,AR,1562888127,80,-37.33,-59.14,50.0,1.01
261,Shelburne,20,CA,1562888128,60,44.08,-80.2,77.0,14.99
262,Nadym,13,RU,1562888129,83,65.53,72.51,60.71,18.45
263,South Yuba City,1,US,1562888130,24,39.12,-121.64,100.0,6.93
264,Kaeo,100,NZ,1562888132,95,-35.1,173.78,59.0,11.99
265,Hasaki,75,JP,1562888133,94,35.73,140.83,68.0,8.05
266,Elfers,40,US,1562888134,88,28.22,-82.72,82.0,6.93
267,Alofi,40,NU,1562888135,78,-19.06,-169.92,80.6,12.75
268,Lompoc,1,US,1562888102,72,34.64,-120.46,84.99,17.22
269,Saint-Pierre,0,FR,1562888138,72,48.95,4.24,68.0,5.82
270,Galle,89,GN,1562888139,96,10.08,-12.83,70.79,3.42
271,Hualmay,3,PE,1562888140,88,-11.1,-77.61,62.51,15.37
272,Longyearbyen,75,NO,1562888141,81,78.22,15.63,42.8,14.99
273,Canmore,20,CA,1562888142,60,51.09,-115.35,73.99,10.29
274,Kharp,100,RU,1562888144,91,66.82,65.8,53.51,5.61
275,Vata de Jos,41,RO,1562888145,87,46.18,22.6,46.85,3.38
276,Puerto Palomas,1,US,1562888146,12,31.78,-107.63,100.4,9.17
277,Oranjemund,0,ZA,1562888147,90,-28.55,16.43,55.49,12.44
278,Makakilo City,75,US,1562888148,54,21.35,-158.09,91.0,16.11
279,Deputatskiy,68,RU,1562888150,57,69.3,139.9,68.45,8.84
280,Vila Franca do Campo,20,PT,1562888151,83,37.72,-25.43,69.8,5.82
281,Zhigansk,88,RU,1562888152,38,66.77,123.37,80.69,10.78
282,Khatanga,50,RU,1562888153,52,71.98,102.47,52.79,10.16
283,Salekhard,69,RU,1562888154,85,66.54,66.62,58.01,11.92
284,Kloulklubed,90,PW,1562888156,94,7.04,134.26,77.0,8.05
285,Empangeni,0,ZA,1562888157,20,-28.75,31.9,62.69,4.47
